dataset,algorithm,size,time_sec,memory_kb,operations,result
Dataset\data_list_10.csv,brute_force,10,0.0047762999984115595,8.76171875,45,"(None, None)"
Dataset\data_list_10.csv,hash_map,10,0.0010390000006736955,8.50390625,10,"(None, None)"
Dataset\data_list_100.csv,brute_force,100,0.001491699998950935,9.05078125,158,"(64, 86)"
Dataset\data_list_100.csv,hash_map,100,0.0017245999988517724,8.95703125,11,"(65, 85)"
Dataset\data_list_1000.csv,brute_force,1000,0.05028630000015255,16.1015625,5148,"(83, 67)"
Dataset\data_list_1000.csv,hash_map,1000,0.005036499998823274,18.66796875,71,"(74, 76)"
Dataset\data_list_10000.csv,brute_force,10000,0.18622180000056687,85.640625,50153,"(52, 98)"
Dataset\data_list_10000.csv,hash_map,10000,0.001687300000412506,87.00390625,29,"(81, 69)"
Dataset\data_list_100000.csv,hash_map,100000,0.004286999999749241,790.08203125,36,"(75, 75)"
Dataset\data_list_1000000.csv,hash_map,1000000,0.06205450000015844,7820.48828125,13,"(66, 84)"
Dataset\data_list_150.csv,brute_force,150,0.011135400000057416,8.744140625,2895,"(78, 72)"
Dataset\data_list_150.csv,hash_map,150,0.0009792000000743428,11.490234375,73,"(62, 88)"
Dataset\data_list_1500.csv,brute_force,1500,0.01137410000046657,18.884765625,4595,"(84, 66)"
Dataset\data_list_1500.csv,hash_map,1500,0.0023046999995131046,20.591796875,33,"(81, 69)"
Dataset\data_list_15000.csv,hash_map,15000,0.001390900000842521,127.287109375,94,"(67, 83)"
Dataset\data_list_150000.csv,hash_map,150000,0.005106899998281733,1180.740234375,30,"(53, 97)"
Dataset\data_list_1500000.csv,hash_map,1500000,0.04986559999997553,11726.365234375,22,"(98, 52)"
Dataset\data_list_20.csv,brute_force,20,0.0029693999986193376,7.302734375,190,"(None, None)"
Dataset\data_list_20.csv,hash_map,20,0.004485399998884532,7.685546875,20,"(None, None)"
Dataset\data_list_200.csv,brute_force,200,0.0014080999990255805,8.630859375,157,"(58, 92)"
Dataset\data_list_200.csv,hash_map,200,0.000808599999800208,11.568359375,85,"(56, 94)"
Dataset\data_list_2000.csv,brute_force,2000,0.002674499999557156,22.654296875,1020,"(62, 88)"
Dataset\data_list_2000.csv,hash_map,2000,0.0025562999999237945,24.068359375,45,"(52, 98)"
Dataset\data_list_20000.csv,hash_map,20000,0.0029720999991695862,164.380859375,37,"(81, 69)"
Dataset\data_list_200000.csv,hash_map,200000,0.00800629999866942,1569.810546875,16,"(74, 76)"
Dataset\data_list_2000000.csv,hash_map,2000000,0.06566779999957362,15632.443359375,17,"(58, 92)"
Dataset\data_list_30.csv,brute_force,30,0.0011549999999260763,7.115234375,357,"(161, -11)"
Dataset\data_list_30.csv,hash_map,30,0.0014495000013994286,8.294921875,30,"(161, -11)"
Dataset\data_list_300.csv,brute_force,300,0.0017345000014756806,9.216796875,698,"(76, 74)"
Dataset\data_list_300.csv,hash_map,300,0.0010419999998703133,11.998046875,50,"(88, 62)"
Dataset\data_list_3000.csv,brute_force,3000,0.040568400001575355,30.330078125,18036,"(83, 67)"
Dataset\data_list_3000.csv,hash_map,3000,0.001103000000512111,31.779296875,43,"(98, 52)"
Dataset\data_list_30000.csv,hash_map,30000,0.005269100000077742,242.435546875,27,"(84, 66)"
Dataset\data_list_300000.csv,hash_map,300000,0.009779100000741892,2353.404296875,64,"(51, 99)"
Dataset\data_list_40.csv,brute_force,40,0.005072500000096625,7.185546875,780,"(None, None)"
Dataset\data_list_40.csv,hash_map,40,0.0034470999999030028,8.529296875,40,"(None, None)"
Dataset\data_list_400.csv,brute_force,400,0.0031386999999085674,9.998046875,1220,"(72, 78)"
Dataset\data_list_400.csv,hash_map,400,0.002470900000844267,9.990234375,9,"(67, 83)"
Dataset\data_list_4000.csv,brute_force,4000,0.011815099998784717,38.123046875,4186,"(66, 84)"
Dataset\data_list_4000.csv,hash_map,4000,0.0017520999990665587,40.904296875,67,"(96, 54)"
Dataset\data_list_40000.csv,hash_map,40000,0.006770199999664328,320.998046875,37,"(93, 57)"
Dataset\data_list_400000.csv,hash_map,400000,0.018680299999687122,3133.060546875,25,"(87, 63)"
Dataset\data_list_50.csv,brute_force,50,0.0022340999985317467,7.232421875,234,"(84, 66)"
Dataset\data_list_50.csv,hash_map,50,0.00398259999928996,8.451171875,49,"(84, 66)"
Dataset\data_list_500.csv,brute_force,500,0.018717500001002918,10.486328125,8421,"(67, 83)"
Dataset\data_list_500.csv,hash_map,500,0.000844899999719928,13.716796875,52,"(94, 56)"
Dataset\data_list_5000.csv,brute_force,5000,0.029236299998956383,45.642578125,10147,"(74, 76)"
Dataset\data_list_5000.csv,hash_map,5000,0.0014959000000089873,47.123046875,42,"(58, 92)"
Dataset\data_list_50000.csv,hash_map,50000,0.003408000000490574,397.888671875,15,"(64, 86)"
Dataset\data_list_500000.csv,hash_map,500000,0.0201007000014215,3914.591796875,41,"(72, 78)"
Dataset\data_list_75.csv,brute_force,75,0.006450099999710801,7.615234375,1190,"(80, 70)"
Dataset\data_list_75.csv,hash_map,75,0.0029615999992529396,8.646484375,30,"(80, 70)"
Dataset\data_list_750.csv,brute_force,750,0.012156700000559795,12.439453125,3920,"(63, 87)"
Dataset\data_list_750.csv,hash_map,750,0.0015072000005602604,15.513671875,52,"(65, 85)"
Dataset\data_list_7500.csv,brute_force,7500,0.00330500000018219,65.435546875,114,"(87, 63)"
Dataset\data_list_7500.csv,hash_map,7500,0.0022967000004427973,68.404296875,65,"(70, 80)"
Dataset\data_list_75000.csv,hash_map,75000,0.005404600000474602,595.591796875,60,"(56, 94)"
Dataset\data_list_750000.csv,hash_map,750000,0.029126600000381586,5867.435546875,37,"(57, 93)"
